05,05002,ABEJORRAL
54,54003,ABREGO
05,05004,ABRIAQUÍ
50,50006,ACACÍAS
27,27006,ACANDÍ
41,41006,ACEVEDO
13,13006,ACHÍ
41,41013,AGRADO
25,25001,AGUA DE DIOS
20,20011,AGUACHICA
68,68013,AGUADA
17,17013,AGUADAS
85,85010,AGUAZUL
20,20013,AGUSTÍN CODAZZI
41,41016,AIPE
25,25019,ALBÁN
52,52019,ALBÁN
18,18029,ALBANIA
44,44035,ALBANIA
68,68020,ALBANIA
76,76020,ALCALÁ
52,52022,ALDANA
05,05021,ALEJANDRÍA
47,47030,ALGARROBO
41,41020,ALGECIRAS
19,19022,ALMAGUER
15,15022,ALMEIDA
73,73024,ALPUJARRA
41,41026,ALTAMIRA
27,27025,ALTO BAUDO
13,13030,ALTOS DEL ROSARIO
73,73026,ALVARADO
05,05030,AMAGÁ
05,05031,AMALFI
73,73030,AMBALEMA
25,25035,ANAPOIMA
52,52036,ANCUYÁ
76,76036,ANDALUCÍA
05,05034,ANDES
05,05036,ANGELÓPOLIS
05,05038,ANGOSTURA
25,25040,ANOLAIMA
05,05040,ANORÍ
17,17042,ANSERMA
76,76041,ANSERMANUEVO
05,05044,ANZA
73,73043,ANZOÁTEGUI
05,05045,APARTADÓ
66,66045,APÍA
25,25599,APULO
15,15047,AQUITANIA
47,47053,ARACATACA
17,17050,ARANZAZU
68,68051,ARATOCA
81,81001,ARAUCA
81,81065,ARAUQUITA
25,25053,ARBELÁEZ
52,52051,ARBOLEDA
54,54051,ARBOLEDAS
05,05051,ARBOLETES
15,15051,ARCABUCO
13,13042,ARENAL
05,05055,ARGELIA
19,19050,ARGELIA
76,76054,ARGELIA
47,47058,ARIGUANÍ
13,13052,ARJONA
05,05059,ARMENIA
63,63001,ARMENIA
73,73055,ARMERO
13,13062,ARROYOHONDO
20,20032,ASTREA
73,73067,ATACO
27,27050,ATRATO
23,23068,AYAPEL
27,27073,BAGADÓ
27,27075,BAHÍA SOLANO
27,27077,BAJO BAUDÓ
19,19075,BALBOA
66,66075,BALBOA
08,08078,BARANOA
41,41078,BARAYA
52,52079,BARBACOAS
05,05079,BARBOSA
68,68077,BARBOSA
68,68079,BARICHARA
50,50110,BARRANCA DE UPÍA
68,68081,BARRANCABERMEJA
44,44078,BARRANCAS
13,13074,BARRANCO DE LOBA
94,94343,BARRANCO MINAS
08,08001,BARRANQUILLA
20,20045,BECERRIL
17,17088,BELALCÁZAR
15,15087,BELÉN
52,52083,BELÉN
27,27086,BELÉN DE BAJIRÁ
18,18094,BELÉN DE LOS ANDAQUIES
66,66088,BELÉN DE UMBRÍA
05,05088,BELLO
05,05086,BELMIRA
25,25086,BELTRÁN
15,15090,BERBEO
05,05091,BETANIA
15,15092,BETÉITIVA
05,05093,BETULIA
68,68092,BETULIA
25,25095,BITUIMA
15,15097,BOAVITA
54,54099,BOCHALEMA
11,11001,BOGOTÁ D.C
25,25099,BOJACÁ
27,27099,BOJAYA
19,19100,BOLÍVAR
68,68101,BOLÍVAR
76,76100,BOLÍVAR
20,20060,BOSCONIA
15,15104,BOYACÁ
05,05107,BRICEÑO
15,15106,BRICEÑO
68,68001,BUCARAMANGA
54,54109,BUCARASICA
76,76109,BUENAVENTURA
15,15109,BUENAVISTA
23,23079,BUENAVISTA
63,63111,BUENAVISTA
70,70110,BUENAVISTA
19,19110,BUENOS AIRES
52,52110,BUESACO
76,76113,BUGALAGRANDE
05,05113,BURITICÁ
15,15114,BUSBANZÁ
25,25120,CABRERA
68,68121,CABRERA
50,50124,CABUYARO
94,94886,CACAHUAL
05,05120,CÁCERES
25,25123,CACHIPAY
54,54128,CACHIRÁ
54,54125,CÁCOTA
05,05125,CAICEDO
76,76122,CAICEDONIA
70,70124,CAIMITO
73,73124,CAJAMARCA
19,19130,CAJIBÍO
25,25126,CAJICÁ
13,13140,CALAMAR
95,95015,CALAMAR
63,63130,CALARCA
05,05129,CALDAS
15,15131,CALDAS
19,19137,CALDONO
76,76001,CALI
68,68132,CALIFORNIA
76,76126,CALIMA
19,19142,CALOTO
05,05134,CAMPAMENTO
08,08137,CAMPO DE LA CRUZ
41,41132,CAMPOALEGRE
15,15135,CAMPOHERMOSO
23,23090,CANALETE
08,08141,CANDELARIA
76,76130,CANDELARIA
13,13160,CANTAGALLO
05,05138,CAÑASGORDAS
25,25148,CAPARRAPÍ
68,68147,CAPITANEJO
25,25151,CAQUEZA
05,05142,CARACOLÍ
05,05145,CARAMANTA
68,68152,CARCASÍ
05,05147,CAREPA
73,73148,CARMEN DE APICALÁ
25,25154,CARMEN DE CARUPA
27,27150,CARMEN DEL DARIEN
05,05150,CAROLINA
13,13001,CARTAGENA
18,18150,CARTAGENA DEL CHAIRÁ
76,76147,CARTAGO
97,97161,CARURU
73,73152,CASABIANCA
50,50150,CASTILLA LA NUEVA
05,05154,CAUCASIA
68,68160,CEPITÁ
23,23162,CERETÉ
15,15162,CERINZA
68,68162,CERRITO
47,47161,CERRO SAN ANTONIO
27,27160,CÉRTEGUI
52,52240,CHACHAGÜÍ
25,25168,CHAGUANÍ
70,70230,CHALÁN
85,85015,CHAMEZA
73,73168,CHAPARRAL
68,68167,CHARALÁ
68,68169,CHARTA
25,25175,CHÍA
47,47170,CHIBOLO
05,05172,CHIGORODÓ
68,68176,CHIMA
23,23168,CHIMÁ
20,20175,CHIMICHAGUA
54,54172,CHINÁCOTA
15,15172,CHINAVITA
17,17174,CHINCHINÁ
23,23182,CHINÚ
25,25178,CHIPAQUE
68,68179,CHIPATÁ
15,15176,CHIQUINQUIRÁ
15,15232,CHÍQUIZA
20,20178,CHIRIGUANÁ
15,15180,CHISCAS
15,15183,CHITA
54,54174,CHITAGÁ
15,15185,CHITARAQUE
15,15187,CHIVATÁ
15,15236,CHIVOR
25,25181,CHOACHÍ
25,25183,CHOCONTÁ
13,13188,CICUCO
47,47189,CIÉNAGA
23,23189,CIÉNAGA DE ORO
15,15189,CIÉNEGA
68,68190,CIMITARRA
63,63190,CIRCASIA
05,05190,CISNEROS
05,05101,CIUDAD BOLÍVAR
13,13222,CLEMENCIA
05,05197,COCORNÁ
73,73200,COELLO
25,25200,COGUA
41,41206,COLOMBIA
52,52203,COLÓN
86,86219,COLÓN
70,70204,COLOSO
15,15204,CÓMBITA
05,05206,CONCEPCIÓN
68,68207,CONCEPCIÓN
05,05209,CONCORDIA
47,47205,CONCORDIA
27,27205,CONDOTO
68,68209,CONFINES
52,52207,CONSACA
52,52210,CONTADERO
68,68211,CONTRATACIÓN
54,54206,CONVENCIÓN
05,05212,COPACABANA
15,15212,COPER
13,13212,CÓRDOBA
52,52215,CÓRDOBA
63,63212,CÓRDOBA
19,19212,CORINTO
68,68217,COROMORO
70,70215,COROZAL
15,15215,CORRALES
25,25214,COTA
23,23300,COTORRA
15,15218,COVARACHÍA
70,70221,COVEÑAS
73,73217,COYAIMA
81,81220,CRAVO NORTE
52,52224,CUASPUD
15,15223,CUBARÁ
50,50223,CUBARRAL
15,15224,CUCAITA
25,25224,CUCUNUBÁ
54,54001,CÚCUTA
54,54223,CUCUTILLA
15,15226,CUÍTIVA
50,50226,CUMARAL
99,99773,CUMARIBO
52,52227,CUMBAL
52,52233,CUMBITARA
73,73226,CUNDAY
18,18205,CURILLO
68,68229,CURITÍ
20,20228,CURUMANÍ
05,05234,DABEIBA
76,76233,DAGUA
44,44090,DIBULLA
44,44098,DISTRACCIÓN
73,73236,DOLORES
05,05237,DON MATÍAS
66,66170,DOSQUEBRADAS
15,15238,DUITAMA
54,54239,DURANIA
05,05240,EBÉJICO
76,76243,EL ÁGUILA
05,05250,EL BAGRE
47,47245,EL BANCO
76,76246,EL CAIRO
50,50245,EL CALVARIO
27,27135,EL CANTÓN DEL SAN PABLO
54,54245,EL CARMEN
27,27245,EL CARMEN DE ATRATO
13,13244,EL CARMEN DE BOLÍVAR
68,68235,EL CARMEN DE CHUCURÍ
05,05148,EL CARMEN DE VIBORAL
50,50251,EL CASTILLO
76,76248,EL CERRITO
52,52250,EL CHARCO
15,15244,EL COCUY
25,25245,EL COLEGIO
20,20238,EL COPEY
18,18247,EL DONCELLO
50,50270,EL DORADO
76,76250,EL DOVIO
91,91263,EL ENCANTO
15,15248,EL ESPINO
68,68245,EL GUACAMAYO
13,13248,EL GUAMO
27,27250,EL LITORAL DEL SAN JUAN
44,44110,EL MOLINO
20,20250,EL PASO
18,18256,EL PAUJIL
52,52254,EL PEÑOL
13,13268,EL PEÑÓN
25,25258,EL PEÑÓN
68,68250,EL PEÑÓN
47,47258,EL PIÑON
68,68255,EL PLAYÓN
47,47268,EL RETÉN
95,95025,EL RETORNO
70,70233,EL ROBLE
25,25260,EL ROSAL
